topic,length,AI_model,humanizer,AI_intro_top,Human_intro_top,AI_body_top,Human_body_top,AI_conclusion_top,Human_conclusion_top,intro_shifted,body_shifted,conclusion_shifted
2,2,gemini2.5pro,HumanizeAI,surprise,neutral,neutral,neutral,admiration,optimism,True,False,True
2,2,gemini2.5pro,Quillbot,surprise,neutral,neutral,neutral,admiration,neutral,True,False,True
2,2,gemini2.5pro,UndetectableAI,surprise,neutral,neutral,neutral,admiration,neutral,True,False,True
2,2,gemini2.5pro,writehuman.ai,surprise,neutral,neutral,neutral,admiration,neutral,True,False,True
2,2,gpt4.0,AIHumanizer,neutral,approval,curiosity,caring,approval,approval,True,True,False
2,2,gpt4.0,Grammarly,neutral,caring,curiosity,neutral,approval,approval,True,True,False
2,2,gpt4.0,HumanizeAI,neutral,approval,curiosity,neutral,approval,approval,True,True,False
2,2,gpt4.0,Quillbot,neutral,neutral,curiosity,neutral,approval,approval,False,True,False
2,2,gpt4.0,UndetectableAI,neutral,neutral,curiosity,neutral,approval,approval,False,True,False
2,2,gpt4.0,writehuman.ai,neutral,neutral,curiosity,neutral,approval,approval,False,True,False
2,3,gemini2.5pro,AIHumanizer,approval,approval,neutral,neutral,approval,approval,False,False,False
2,3,gemini2.5pro,Grammarly,approval,approval,neutral,neutral,approval,approval,False,False,False
2,3,gemini2.5pro,HumanizeAI,approval,approval,neutral,neutral,approval,neutral,False,False,True
2,3,gemini2.5pro,Quillbot,approval,approval,neutral,neutral,approval,approval,False,False,False
2,3,gemini2.5pro,UndetectableAI,approval,neutral,neutral,neutral,approval,approval,True,False,False
2,3,gemini2.5pro,writehuman.ai,approval,approval,neutral,neutral,approval,neutral,False,False,True
2,3,gpt4.0,AIHumanizer,approval,approval,neutral,neutral,approval,approval,False,False,False
2,3,gpt4.0,Grammarly,approval,caring,neutral,neutral,approval,approval,True,False,False
2,3,gpt4.0,HumanizeAI,approval,neutral,neutral,neutral,approval,approval,True,False,False
2,3,gpt4.0,Quillbot,approval,approval,neutral,neutral,approval,approval,False,False,False
2,3,gpt4.0,UndetectableAI,approval,neutral,neutral,neutral,approval,neutral,True,False,True
2,3,gpt4.0,writehuman.ai,approval,neutral,neutral,neutral,approval,approval,True,False,False
3,2,gemini2.5pro,AIHumanizer,admiration,admiration,neutral,neutral,admiration,approval,False,False,True
3,2,gemini2.5pro,Grammarly,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,2,gemini2.5pro,HumanizeAI,admiration,admiration,neutral,neutral,admiration,approval,False,False,True
3,2,gemini2.5pro,Quillbot,admiration,admiration,neutral,neutral,admiration,approval,False,False,True
3,2,gemini2.5pro,UndetectableAI,admiration,admiration,neutral,neutral,admiration,neutral,False,False,True
3,2,gemini2.5pro,writehuman.ai,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,2,gpt4.0,AIHumanizer,neutral,admiration,neutral,neutral,admiration,admiration,True,False,False
3,2,gpt4.0,Grammarly,neutral,neutral,neutral,neutral,admiration,neutral,False,False,True
3,2,gpt4.0,HumanizeAI,neutral,admiration,neutral,neutral,admiration,admiration,True,False,False
3,2,gpt4.0,Quillbot,neutral,admiration,neutral,neutral,admiration,admiration,True,False,False
3,2,gpt4.0,UndetectableAI,neutral,neutral,neutral,neutral,admiration,admiration,False,False,False
3,2,gpt4.0,writehuman.ai,neutral,admiration,neutral,neutral,admiration,admiration,True,False,False
3,3,gemini2.5pro,AIHumanizer,admiration,admiration,neutral,neutral,neutral,neutral,False,False,False
3,3,gemini2.5pro,Grammarly,admiration,neutral,neutral,approval,neutral,neutral,True,True,False
3,3,gemini2.5pro,HumanizeAI,admiration,approval,neutral,neutral,neutral,neutral,True,False,False
3,3,gemini2.5pro,Quillbot,admiration,admiration,neutral,neutral,neutral,neutral,False,False,False
3,3,gemini2.5pro,UndetectableAI,admiration,admiration,neutral,neutral,neutral,neutral,False,False,False
3,3,gemini2.5pro,writehuman.ai,admiration,admiration,neutral,neutral,neutral,neutral,False,False,False
3,3,gpt4.0,AIHumanizer,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,3,gpt4.0,Grammarly,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,3,gpt4.0,HumanizeAI,admiration,admiration,neutral,neutral,admiration,neutral,False,False,True
3,3,gpt4.0,Quillbot,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,3,gpt4.0,UndetectableAI,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
3,3,gpt4.0,writehuman.ai,admiration,admiration,neutral,neutral,admiration,admiration,False,False,False
4,2,gemini2.5pro,AIHumanizer,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gemini2.5pro,Grammarly,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gemini2.5pro,HumanizeAI,approval,neutral,neutral,neutral,approval,approval,True,False,False
4,2,gemini2.5pro,Quillbot,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gemini2.5pro,UndetectableAI,approval,neutral,neutral,neutral,approval,approval,True,False,False
4,2,gemini2.5pro,writehuman.ai,approval,neutral,neutral,neutral,approval,neutral,True,False,True
4,2,gpt4.0,AIHumanizer,approval,admiration,neutral,neutral,approval,approval,True,False,False
4,2,gpt4.0,Grammarly,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gpt4.0,HumanizeAI,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gpt4.0,Quillbot,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gpt4.0,UndetectableAI,approval,approval,neutral,neutral,approval,approval,False,False,False
4,2,gpt4.0,writehuman.ai,approval,neutral,neutral,neutral,approval,neutral,True,False,True
4,3,gemini2.5pro,AIHumanizer,approval,approval,curiosity,curiosity,neutral,neutral,False,False,False
4,3,gemini2.5pro,Grammarly,approval,approval,curiosity,neutral,neutral,neutral,False,True,False
4,3,gemini2.5pro,HumanizeAI,approval,approval,curiosity,neutral,neutral,neutral,False,True,False
4,3,gemini2.5pro,Quillbot,approval,approval,curiosity,neutral,neutral,neutral,False,True,False
4,3,gemini2.5pro,UndetectableAI,approval,approval,curiosity,annoyance,neutral,neutral,False,True,False
4,3,gemini2.5pro,writehuman.ai,approval,neutral,curiosity,neutral,neutral,approval,True,True,True
4,3,gpt4.0,AIHumanizer,approval,approval,neutral,neutral,optimism,optimism,False,False,False
4,3,gpt4.0,Grammarly,approval,approval,neutral,neutral,optimism,approval,False,False,True
4,3,gpt4.0,HumanizeAI,approval,neutral,neutral,neutral,optimism,neutral,True,False,True
4,3,gpt4.0,Quillbot,approval,approval,neutral,neutral,optimism,optimism,False,False,False
4,3,gpt4.0,UndetectableAI,approval,neutral,neutral,neutral,optimism,neutral,True,False,True
4,3,gpt4.0,writehuman.ai,approval,approval,neutral,neutral,optimism,approval,False,False,True
5,2,gemini2.5pro,AIHumanizer,joy,joy,admiration,admiration,admiration,admiration,False,False,False
5,2,gemini2.5pro,Grammarly,joy,admiration,admiration,admiration,admiration,admiration,True,False,False
5,2,gemini2.5pro,HumanizeAI,joy,joy,admiration,amusement,admiration,admiration,False,True,False
5,2,gemini2.5pro,Quillbot,joy,approval,admiration,admiration,admiration,admiration,True,False,False
5,2,gemini2.5pro,UndetectableAI,joy,joy,admiration,joy,admiration,approval,False,True,True
5,2,gemini2.5pro,writehuman.ai,joy,neutral,admiration,unknown,admiration,unknown,True,True,True
5,2,gpt4.0,AIHumanizer,joy,excitement,admiration,admiration,admiration,love,True,False,True
5,2,gpt4.0,Grammarly,joy,admiration,admiration,admiration,admiration,admiration,True,False,False
5,2,gpt4.0,HumanizeAI,joy,joy,admiration,joy,admiration,admiration,False,True,False
5,2,gpt4.0,Quillbot,joy,joy,admiration,joy,admiration,admiration,False,True,False
5,2,gpt4.0,UndetectableAI,joy,love,admiration,joy,admiration,admiration,True,True,False
5,2,gpt4.0,writehuman.ai,joy,joy,admiration,joy,admiration,joy,False,True,True
5,3,gemini2.5pro,AIHumanizer,joy,joy,amusement,amusement,joy,joy,False,False,False
5,3,gemini2.5pro,Grammarly,joy,joy,amusement,amusement,joy,approval,False,False,True
5,3,gemini2.5pro,HumanizeAI,joy,joy,amusement,admiration,joy,joy,False,True,False
5,3,gemini2.5pro,Quillbot,joy,joy,amusement,amusement,joy,joy,False,False,False
5,3,gemini2.5pro,UndetectableAI,joy,joy,amusement,amusement,joy,joy,False,False,False
5,3,gemini2.5pro,writehuman.ai,joy,admiration,amusement,amusement,joy,joy,True,False,False
5,3,gpt4.0,AIHumanizer,admiration,admiration,admiration,admiration,approval,approval,False,False,False
5,3,gpt4.0,Grammarly,admiration,admiration,admiration,admiration,approval,approval,False,False,False
5,3,gpt4.0,HumanizeAI,admiration,admiration,admiration,admiration,approval,approval,False,False,False
5,3,gpt4.0,Quillbot,admiration,admiration,admiration,admiration,approval,admiration,False,False,True
5,3,gpt4.0,UndetectableAI,admiration,admiration,admiration,admiration,approval,admiration,False,False,True
5,3,gpt4.0,writehuman.ai,admiration,admiration,admiration,admiration,approval,approval,False,False,False
